Дата;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
18.02.2024 16:00;17.0;760.0;771.8;-1.0;64;Ветер, дующий с юго-запада;3;;;50%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;50%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;25.0;10.0;;;;;;
18.02.2024 15:00;17.июн;760.1;771.9;;59;Ветер, дующий с юго-запада;3;;;; ;;;;;;;;;;;09.май;Осадков нет;1;;;;
18.02.2024 14:00;17.авг;760.5;772.3;;64;Ветер, дующий с юго-запада;3;;;; ;;;;;;;;;;;10.сен;Осадков нет;1;;;;
18.02.2024 13:00;17.май;761.0;772.8;-0.7;65;Ветер, дующий с западо-юго-запада;3;;;Облаков нет.; ;;;;;;;;;;20.0;10.июл;Осадков нет;6;;;;
18.02.2024 12:00;17.мар;761.4;773.2;;57;Штиль, безветрие;0;;;; ;;;;;;;;;;;08.июл;Осадков нет;1;;;;
18.02.2024 11:00;14.апр;761.8;773.6;;60;Штиль, безветрие;0;;;; ;;;;;;;;;;;06.июл;Осадков нет;1;;;;
18.02.2024 10:00;10.май;761.7;773.5;01.янв;67;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;20.0;04.май;;;;;;
18.02.2024 9:00;08.сен;761.5;773.3;;71;Ветер, дующий с северо-северо-востока;2;;;; ;;;;;;;;;;;03.авг;Осадков нет;1;;;;
18.02.2024 8:00;07.авг;761.0;772.9;;76;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;03.июл;Осадков нет;1;;;;
18.02.2024 7:00;06.май;760.6;772.4;0.2;82;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;04.июн;;;;;;;20.0;03.июн;Осадков нет;12;;;;
18.02.2024 6:00;05.сен;760.6;772.4;;87;Ветер, дующий с северо-востока;2;;;; ;;;;;;;;;;;03.сен;Осадков нет;1;;;;
18.02.2024 5:00;06.май;760.3;772.1;;79;Ветер, дующий с северо-востока;1;;;; ;;;;;;;;;;;03.янв;Осадков нет;1;;;;
