Дата;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
18.02.2024 18:00;-1.9;751.2;765.4;01.июл;70;Ветер, дующий с северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1500-2000;;;20.0;-6.7;1.0;12;;;;
18.02.2024 15:00;-0.3;749.5;763.6;01.фев;73;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-4.7;;;;;;
18.02.2024 12:00;-0.2;748.3;762.4;01.июн;73;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;19.0;-4.5;;;;;;
18.02.2024 9:00;0.2;746.7;760.7;0.8;93;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-2.0;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;12.0;-0.8;5.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;67.0
18.02.2024 6:00;-1.3;745.9;760.0;-1.2;96;Ветер, дующий с юго-юго-запада;1;;;100%.;Снег непрерывный сильный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-2.0;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;01.фев;-1.9;5.0;12;;;;
18.02.2024 3:00;-1.9;747.1;761.3;-1.9;94;Ветер, дующий с юго-юго-востока;1;;;100%.;Снег непрерывный сильный в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;01.мар;-2.7;;;;;;
18.02.2024 0:00;-1.8;749.0;763.2;-1.7;89;Ветер, дующий с юга;2;;;100%.; ;;;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;;;12.0;-3.4;;;;;;
17.02.2024 21:00;-1.7;750.7;764.9;-1.4;83;Ветер, дующий с юга;1;;;100%.; ;;;;-0.7;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;300-600;;;17.0;-4.2;Осадков нет;12;;;;
17.02.2024 18:00;-1.1;752.1;766.3;-1.6;77;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;20.0;-4.6;Осадков нет;12;;;;
17.02.2024 15:00;-0.9;753.7;767.9;-2.0;74;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;20.0;-5.0;;;;;;
