# Метеостанция Виллакубле (аэропорт), Франция, METAR=LFPV, выборка с 18.01.2024 по 18.02.2024, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=LFPV&lang=ru
#
"Местное время в Виллакубле (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"18.02.2024 17:30";"11.0";"754.9";"771.1";"94";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Сплошная (100%) 210 м";"10.0 и более";"10.0";
"18.02.2024 17:00";"10.0";"754.8";"771.1";"100";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 180 м, сплошная (100%) 300 м";"10.0 и более";"10.0";
"18.02.2024 16:30";"10.0";"754.8";"771.1";"94";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 150 м, кучевые мощные большой вертикальной протяженности";"8.0";"9.0";
"18.02.2024 16:00";"10.0";"754.8";"771.1";"94";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 120 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"9.0";
"18.02.2024 15:30";"9.0";"754.8";"771.1";"100";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) дождь, дымка";"";"Сплошная (100%) 120 м, кучевые мощные большой вертикальной протяженности";"4.0";"9.0";
"18.02.2024 15:00";"9.0";"754.8";"771.1";"94";"Ветер, дующий с юго-запада";"5";"";"";"";"Сплошная (100%) 180 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"8.0";
"18.02.2024 14:30";"9.0";"755.5";"771.9";"94";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Сплошная (100%) 180 м";"10.0 и более";"8.0";
"18.02.2024 14:00";"9.0";"755.5";"771.9";"94";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 210 м";"10.0 и более";"8.0";
"18.02.2024 13:30";"9.0";"755.5";"771.9";"94";"Ветер, дующий с западо-юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 270 м, сплошная (100%) 540 м";"10.0 и более";"8.0";
"18.02.2024 13:00";"9.0";"755.5";"771.9";"87";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 330 м, рассеянная (40-50%) 1110 м, сплошная (100%) 2280 м";"10.0 и более";"7.0";
"18.02.2024 12:30";"9.0";"755.5";"771.9";"87";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) дождь";"";"Нет существенной облачности";"10.0 и более";"7.0";
"18.02.2024 12:00";"9.0";"755.5";"771.9";"87";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 810 м, разорванная (60-90%) 2100 м, сплошная (100%) 2460 м";"10.0 и более";"7.0";
"18.02.2024 11:30";"9.0";"756.3";"772.7";"82";"Ветер, дующий с юго-запада";"5";"";"";"";"Рассеянная (40-50%) 720 м, разорванная (60-90%) 990 м, разорванная (60-90%) 1410 м";"10.0 и более";"6.0";
"18.02.2024 11:00";"8.0";"756.3";"772.7";"87";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 720 м, сплошная (100%) 960 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"6.0";
"18.02.2024 10:30";"8.0";"756.3";"772.7";"87";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 420 м, рассеянная (40-50%) 900 м, разорванная (60-90%) 1140 м, кучевые мощные большой вертикальной протяженности";"9.0";"6.0";
"18.02.2024 10:00";"9.0";"756.3";"772.7";"82";"Ветер, дующий с юго-юго-запада";"4";"";"Слабый(ая)(ые) дождь";"";"Незначительная (10-30%) 600 м, рассеянная (40-50%) 1440 м, разорванная (60-90%) 2220 м, кучевые мощные большой вертикальной протяженности";"10.0 и более";"6.0";
"18.02.2024 09:30";"8.0";"756.3";"772.7";"82";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.02.2024 09:00";"8.0";"756.3";"772.7";"82";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.02.2024 08:30";"7.0";"756.2";"772.7";"87";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.02.2024 08:00";"7.0";"756.2";"772.7";"87";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.02.2024 07:30";"7.0";"756.9";"773.4";"87";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.02.2024 07:00";"7.0";"756.9";"773.4";"81";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 06:30";"7.0";"756.9";"773.4";"81";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 06:00";"7.0";"756.9";"773.4";"81";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 05:30";"7.0";"756.9";"773.4";"81";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 05:00";"7.0";"757.4";"773.9";"81";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 04:30";"7.0";"757.4";"773.9";"81";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 04:00";"7.0";"758.2";"774.7";"81";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 03:30";"7.0";"758.2";"774.7";"81";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 03:00";"8.0";"758.2";"774.7";"76";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 02:30";"8.0";"759.0";"775.5";"76";"Переменное направление";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 02:00";"8.0";"759.0";"775.5";"76";"Переменное направление";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 01:30";"8.0";"759.0";"775.5";"76";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 01:00";"8.0";"759.0";"775.5";"76";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 00:30";"8.0";"759.0";"775.5";"76";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.02.2024 00:00";"9.0";"759.1";"775.5";"71";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"17.02.2024 23:30";"9.0";"759.1";"775.5";"71";"Ветер, дующий с юга";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"4.0";
"17.02.2024 23:00";"9.0";"759.1";"775.5";"76";"Ветер, дующий с юга";"2";"";"";"";"Сплошная (100%) 990 м";"10.0 и более";"5.0";
"17.02.2024 22:30";"9.0";"759.1";"775.5";"76";"Переменное направление";"2";"";"";"";"Разорванная (60-90%) 990 м, разорванная (60-90%) 6900 м";"10.0 и более";"5.0";
"17.02.2024 22:00";"9.0";"759.1";"775.5";"76";"Ветер, дующий с юга";"2";"";"";"";"Рассеянная (40-50%) 990 м, сплошная (100%) 6600 м";"10.0 и более";"5.0";
"17.02.2024 21:30";"10.0";"759.1";"775.5";"71";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"17.02.2024 21:00";"10.0";"759.1";"775.5";"71";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"17.02.2024 20:30";"10.0";"759.1";"775.5";"71";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"17.02.2024 20:00";"10.0";"759.1";"775.5";"71";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"17.02.2024 19:30";"10.0";"759.1";"775.5";"76";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"17.02.2024 19:00";"11.0";"759.2";"775.5";"72";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Незначительная (10-30%) 1110 м";"10.0 и более";"6.0";
"17.02.2024 18:30";"12.0";"759.2";"775.5";"67";"Ветер, дующий с юго-запада";"2";"";"";"";"Сплошная (100%) 1170 м";"10.0 и более";"6.0";
"17.02.2024 18:00";"12.0";"759.2";"775.5";"67";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Рассеянная (40-50%) 1170 м";"10.0 и более";"6.0";
"17.02.2024 17:30";"12.0";"758.4";"774.7";"63";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Незначительная (10-30%) 1170 м";"10.0 и более";"5.0";
"17.02.2024 17:00";"13.0";"759.3";"775.5";"63";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Незначительная (10-30%) 1140 м";"10.0 и более";"6.0";
"17.02.2024 16:30";"13.0";"758.5";"774.7";"59";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 1110 м";"10.0 и более";"5.0";
"17.02.2024 16:00";"14.0";"758.6";"774.7";"55";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 1140 м";"10.0 и более";"5.0";
"17.02.2024 15:30";"14.0";"759.3";"775.5";"55";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 1170 м";"10.0 и более";"5.0";
"17.02.2024 15:00";"14.0";"758.6";"774.7";"55";"Ветер, дующий с юго-запада";"2";"";"";"";"Рассеянная (40-50%) 1140 м";"10.0 и более";"5.0";
"17.02.2024 14:30";"14.0";"759.3";"775.5";"55";"Ветер, дующий с юго-запада";"3";"";"";"";"Рассеянная (40-50%) 1140 м";"10.0 и более";"5.0";
"17.02.2024 14:00";"13.0";"759.3";"775.5";"59";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Незначительная (10-30%) 1140 м";"10.0 и более";"5.0";
"17.02.2024 13:30";"14.0";"759.3";"775.5";"59";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 1110 м";"10.0 и более";"6.0";
"17.02.2024 13:00";"13.0";"759.3";"775.5";"59";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Незначительная (10-30%) 1110 м";"10.0 и более";"5.0";
"17.02.2024 12:30";"13.0";"759.3";"775.5";"59";"Ветер, дующий с юга";"3";"";"";"";"Незначительная (10-30%) 1050 м";"10.0 и более";"5.0";
"17.02.2024 12:00";"13.0";"759.3";"775.5";"59";"Переменное направление";"2";"";"";"";"Незначительная (10-30%) 1050 м";"10.0 и более";"5.0";
"17.02.2024 11:30";"12.0";"759.2";"775.5";"63";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"17.02.2024 11:00";"11.0";"758.4";"774.7";"67";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Незначительная (10-30%) 1110 м";"10.0 и более";"5.0";
"17.02.2024 10:30";"10.0";"758.3";"774.7";"67";"Ветер, дующий с юго-запада";"3";"";"";"";"Разорванная (60-90%) 1140 м";"10.0 и более";"4.0";
"17.02.2024 10:00";"10.0";"758.3";"774.7";"67";"Ветер, дующий с юго-запада";"2";"";"";"";"Разорванная (60-90%) 1170 м";"10.0 и более";"4.0";
"17.02.2024 09:30";"9.0";"758.3";"774.7";"71";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Разорванная (60-90%) 1140 м";"10.0 и более";"4.0";
"17.02.2024 09:00";"9.0";"757.5";"773.9";"71";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Сплошная (100%) 1140 м";"10.0 и более";"4.0";
"17.02.2024 08:30";"9.0";"757.5";"773.9";"71";"Ветер, дующий с юго-юго-запада";"1";"";"";"";"Сплошная (100%) 1050 м";"10.0 и более";"4.0";
